x,y,z,force1_x,force2_x,force3_x
0.7,3.0,-100.874862374,-0.624845013,0.00011305,0.624731963
0.7,3.05,-100.874851846,-0.624831416,0.000109692,0.624721724
0.7,3.1,-100.874841661,-0.624819018,0.000105824,0.624713194
0.7,3.15,-100.874831866,-0.624807608,0.000101396,0.624706212
0.7,3.2,-100.874822521,-0.62479685,9.6319e-05,0.624700531
0.7,3.25,-100.874813676,-0.624786735,9.0866e-05,0.624695869
0.7,3.3,-100.874805352,-0.624777327,8.5291e-05,0.624692035
0.7,3.35,-100.874797565,-0.624768574,7.9557e-05,0.624689017
0.7,3.4,-100.874790314,-0.624760747,7.3917e-05,0.62468683
0.7,3.45,-100.874783597,-0.624753626,6.8267e-05,0.624685359
0.7,3.5,-100.874777413,-0.624747094,6.2654e-05,0.62468444
0.7,3.55,-100.874771749,-0.624741114,5.7294e-05,0.624683819
0.7,3.6,-100.874766572,-0.624735688,5.2341e-05,0.624683347
0.7,3.65,-100.874761854,-0.624730682,4.7583e-05,0.624683099
0.7,3.7,-100.874757567,-0.62472639,4.3202e-05,0.624683188
0.7,3.75,-100.874753685,-0.624722544,3.8986e-05,0.624683558
0.7,3.8,-100.874750192,-0.62471918,3.5003e-05,0.624684177
0.7,3.85,-100.874747061,-0.624716285,3.1317e-05,0.624684967
0.7,3.9,-100.874744269,-0.624713471,2.7825e-05,0.624685646
0.7,3.95,-100.874741785,-0.624710985,2.4866e-05,0.624686119
0.7,4.0,-100.874739552,-0.624709082,2.2463e-05,0.624686619
0.75,0.5,-100.65840319,0.054658644,-0.660010567,0.605351923
0.75,0.55,-100.712798932,-0.078798544,-0.500348625,0.57914717
0.75,0.6,-100.754349657,-0.170074882,-0.385223925,0.555298807
0.75,0.65,-100.786551655,-0.233188233,-0.300608557,0.53379679
0.75,0.7,-100.811826705,-0.27719304,-0.237372166,0.514565206
0.75,0.75,-100.831887366,-0.308074857,-0.189403504,0.497478361
0.75,0.8,-100.847966942,-0.329854177,-0.15253058,0.482384757
0.75,0.85,-100.860968541,-0.345277154,-0.123847212,0.469124365
0.75,0.9,-100.871562846,-0.356251378,-0.10128397,0.457535348
0.75,0.95,-100.88025353,-0.3641158,-0.083340621,0.44745642
0.75,1.0,-100.887422522,-0.369811394,-0.068917916,0.438729311
0.75,1.05,-100.893362315,-0.373994928,-0.05720686,0.431201788
0.75,1.1,-100.89829949,-0.377120122,-0.047610371,0.424730492
0.75,1.15,-100.902411927,-0.379496757,-0.03968626,0.419183017
0.75,1.2,-100.905841297,-0.381334702,-0.033104375,0.414439077
0.75,1.25,-100.908702081,-0.382776351,-0.027614514,0.410390865
0.75,1.3,-100.911087955,-0.383919158,-0.023023599,0.406942756
0.75,1.35,-100.913076385,-0.384831636,-0.019178982,0.404010619
0.75,1.4,-100.91473186,-0.385563361,-0.015957492,0.401520854
0.75,1.45,-100.916108337,-0.386151463,-0.013257961,0.399409423
0.75,1.5,-100.91725101,-0.386625018,-0.010995765,0.397620783
0.75,1.55,-100.918197785,-0.387006424,-0.009100587,0.396107011
0.75,1.6,-100.918980436,-0.387314246,-0.007512619,0.394826865
0.75,1.65,-100.919625571,-0.387562688,-0.006182328,0.393745016
0.75,1.7,-100.920155532,-0.387763026,-0.005068312,0.392831337
0.75,1.75,-100.920589039,-0.38792472,-0.00413541,0.39206013
0.75,1.8,-100.920941824,-0.388054195,-0.003355413,0.391409607
0.75,1.85,-100.921227174,-0.388157026,-0.002704229,0.390861255
0.75,1.9,-100.92145625,-0.388238091,-0.002161236,0.390399327
0.75,1.95,-100.92163849,-0.388300078,-0.001710398,0.390010476
0.75,2.0,-100.921781923,-0.388345796,-0.001337497,0.389683293
0.75,2.05,-100.921893288,-0.38837828,-0.001029771,0.389408051
0.75,2.1,-100.921978275,-0.388398748,-0.000777752,0.389176501
0.75,2.15,-100.922041755,-0.388408514,-0.000573114,0.388981628
0.75,2.2,-100.922087802,-0.388410026,-0.000407446,0.388817472
0.75,2.25,-100.922119775,-0.38840468,-0.000274356,0.388679036
0.75,2.3,-100.92214053,-0.388392796,-0.000169258,0.388562054
